"ID","ID_litter","Size","litt_size","sex","group","IgGJ2","TPI","Died","Diarr","Age_D1","AgeD2","hospit","InfCroissPed","InfCroiss4","InfCroiss5","InfCroiss6","InfCroiss7","InfCroiss8","Min1inflcr","TRD21","TRD22","TRD23","TRD24","TRD25","TRD26","TRD27","TRD28","TRD29","TRD30","TRD31","TRD32","TRD33","TRD34","TRD35","TRD36","TRD37","TRD38","TRD39","TRD40","TRD41","TRD42","TRD43","TRD44","TRD45","TRD46","TRD47","TRD48","TRD49","TRD50","TRD51","TRD52","TRD53","TRD54","TRD55","TRD56"
"L10C","10","L","6","M","L","NA","NA","0","0","NA","NA","0","0","0","0","0","0","0","0","37.4","37.6","37.4","37.8","37.9","37.6","38.1","38.0","37.6","38.0","38.0","38.1","38.2","37.8","38.5","38.3","38.1","38.3","38.5","38.3","38.2","38.6","38.6","38.9","38.6","38.4","37.2","38.1","38.5","38.7","38.8","38.5","38.2","38.4","37.5","37.7"
"L10D","10","L","6","F","C","NA","NA","0","0","NA","NA","0","0","0","0","0","0","0","0","37.2","37.3","37.8","37.8","37.9","37.8","37.8","37.6","37.7","37.7","38.0","37.8","38.2","38.2","38.5","38.0","38.2","NA","38.2","38.3","38.6","38.6","38.9","37.9","37.7","38.3","38.5","38.2","38.2","38.5","38.5","38.5","38.0","37.9","37.9","38.7"
"L10E","10","L","6","F","L","NA","NA","0","1","38","NA","1","0","0","0","1","0","0","1","37.0","37.6","37.8","38.1","37.9","37.9","38.3","38.3","38.1","38.1","38.4","38.3","38.2","38.3","38.4","38.7","38.3","39.5","NA","NA","NA","38.7","38.6","38.3","38.1","38.7","38.8","38.1","38.8","37.4","37.8","37.9","39.2","39.2","38.2","38.7"
"L10F","10","L","6","F","C","NA","NA","0","0","NA","NA","0","0","0","0","0","0","0","0","37.2","37.6","37.9","37.9","37.9","37.8","37.6","37.7","37.8","37.7","38.4","38.3","38.1","38.1","38.1","38.5","38.3","38.5","38.5","38.7","38.0","37.7","37.9","38.6","38.7","38.3","37.8","38.3","38.3","38.6","38.3","38.6","38.7","38.4","38.4","38.5"
"L11A","11","L","6","F","L","NA","NA","1","1","52","NA","1","NA","1","0","0","0","NA","1","37.1","37.7","37.5","38.1","37.6","38.2","38.0","37.5","38.3","38.1","38.1","38.0","38.1","38.2","38.5","38.6","38.3","38.7","38.3","38.9","38.4","38.6","38.9","37.9","38.3","38.0","37.6","38.2","38.8","37.8","39.0","38.1","38.2","37.9","38.3","NA"
"L11B","11","L","6","F","C","NA","NA","1","1","52","NA","1","NA","0","0","0","0","NA","NA","36.9","38.0","37.8","38.0","37.8","37.8","38.5","38.2","38.4","38.3","38.4","38.2","38.1","38.1","38.3","38.6","38.5","38.7","38.6","38.6","38.7","39.0","38.6","38.3","38.7","38.7","38.1","38.5","38.4","38.1","38.0","39.2","39.5","38.4","NA","NA"
"L11C","11","L","6","F","L","NA","NA","1","1","52","NA","1","NA","1","0","0","0","NA","1","37.2","37.7","37.6","38.0","37.8","38.3","38.1","37.6","38.0","38.3","38.3","38.5","38.0","38.1","38.6","38.5","38.6","39.0","38.8","38.8","38.3","38.7","38.6","38.1","38.2","38.1","38.2","38.1","37.7","38.9","39.3","38.5","39.3","38.2","39.9","NA"
"L11D","11","L","6","F","C","NA","NA","0","1","53","NA","1","0","0","0","0","1","0","1","37.4","37.6","37.4","37.8","37.7","38.5","37.9","37.9","38.6","38.4","38.4","38.0","38.1","38.3","37.9","38.5","38.6","38.4","38.7","38.6","38.5","38.3","38.1","38.5","38.1","38.3","39.1","38.9","38.6","38.7","NA","38.5","38.7","38.2","38.3","NA"
"L11E","11","L","6","F","L","NA","NA","0","1","37","51","1","0","0","0","0","0","0","0","37.5","37.7","37.3","37.5","37.4","37.8","38.1","37.9","37.7","38.0","38.0","38.2","38.2","38.2","38.4","38.6","38.4","NA","38.4","38.8","38.7","38.9","38.9","38.6","38.5","38.4","38.5","38.4","38.2","38.6","39.4","NA","39.0","38.2","39.2","NA"
"L11F","11","L","6","F","C","NA","NA","0","1","40","52","1","0","0","0","0","0","1","1","37.3","37.3","37.7","37.9","37.3","38.3","38.0","38.2","38.3","38.1","38.6","38.2","38.1","38.5","38.6","38.7","38.6","38.4","38.3","38.7","38.9","38.9","39.2","38.5","38.5","38.2","38.6","38.2","38.6","38.5","39.4","NA","38.7","38.5","38.3","38.4"
